Score: 0.21876439452171326 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 12.896767616271973 -3.4411702156066895 -1.8024213314056396 0.6901141405105591 0.7846289277076721 1.6148065328598022 1.7095015048980713
Score: 0.060124900192022324 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 27.0239200592041 -6.7666778564453125 -2.7998557090759277 0.49218112230300903 0.5349476933479309 1.3040931224822998 0.8175597190856934
Score: 0.05782764032483101 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 26.468647003173828 -6.070456504821777 -3.03861665725708 0.4726874530315399 0.4204750657081604 1.5270057916641235 1.6706433296203613
Score: 0.05147811770439148 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 18.312435150146484 -2.9677820205688477 -2.2123329639434814 0.7310484051704407 0.6860758662223816 1.8840229511260986 1.571182370185852
Score: 0.051052581518888474 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 25.90382957458496 -6.0846052169799805 -2.8444526195526123 0.5336971879005432 0.4588988125324249 1.4831520318984985 5.0383524894714355
Score: 0.21876439452171326 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 12.896767616271973 -3.4411702156066895 -1.8024213314056396 0.6901141405105591 0.7846289277076721 1.6148065328598022 1.7095015048980713
Score: 0.16795021295547485 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.670507431030273 -3.449338436126709 -2.2376868724823 0.7004866003990173 0.7030607461929321 1.808883786201477 1.642393946647644
Score: 0.13745349645614624 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 59.36577224731445 13.570415496826172 -4.172350883483887 2.3682782649993896 4.858460903167725 1.9511243104934692 2.5713844299316406
Score: 0.13552846014499664 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 18.332015991210938 -3.7514641284942627 -2.153127908706665 0.7007243633270264 0.6859966516494751 1.78009831905365 1.339224934577942
Score: 0.1299591064453125 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 26.446487426757812 -6.604859828948975 -2.9267725944519043 0.47168779373168945 0.5114427208900452 1.367354154586792 0.843316912651062
Score: 0.12441788613796234 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 12.606586456298828 -4.069056510925293 -1.8706481456756592 0.6949994564056396 0.7811692953109741 1.6603602170944214 1.7381398677825928
Score: 0.12244772911071777 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.512815475463867 -4.235281944274902 -2.1693434715270996 0.7383536100387573 0.7188039422035217 1.8791097402572632 1.8953917026519775
Score: 0.0999392569065094 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 13.665969848632812 -3.581913471221924 -1.839383840560913 0.6897005438804626 0.8192631602287292 1.603848934173584 1.597236156463623
Score: 0.09276967495679855 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 42.741294860839844 -25.663036346435547 -4.444949150085449 1.821764349937439 4.196272850036621 1.9000904560089111 2.4441957473754883
Score: 0.08233311772346497 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 35.97218704223633 -6.416530132293701 -4.6476263999938965 1.188942313194275 1.3347482681274414 2.4851300716400146 1.1423618793487549
Score: 0.06895457208156586 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 26.587886810302734 -7.1585612297058105 -2.820552349090576 0.5477794408798218 0.6022902131080627 1.3722937107086182 0.9827877283096313
Score: 0.0658792033791542 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 16.729427337646484 -4.225625991821289 -2.0257153511047363 0.709986686706543 0.709543764591217 1.8005415201187134 2.0178122520446777
Score: 0.0646229237318039 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 12.866490364074707 -2.655503988265991 -1.879991054534912 0.7477442026138306 0.8144904375076294 1.7050248384475708 1.6877024173736572
Score: 0.060124900192022324 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 27.0239200592041 -6.7666778564453125 -2.7998557090759277 0.49218112230300903 0.5349476933479309 1.3040931224822998 0.8175597190856934
Score: 0.05782764032483101 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 26.468647003173828 -6.070456504821777 -3.03861665725708 0.4726874530315399 0.4204750657081604 1.5270057916641235 1.6706433296203613
Score: 0.05147811770439148 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 18.312435150146484 -2.9677820205688477 -2.2123329639434814 0.7310484051704407 0.6860758662223816 1.8840229511260986 1.571182370185852
Score: 0.051052581518888474 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 25.90382957458496 -6.0846052169799805 -2.8444526195526123 0.5336971879005432 0.4588988125324249 1.4831520318984985 5.0383524894714355
